"Data provided by SimFin","","","","","","","","","","",""
"","","","","","","","","","","",""
"Profit & Loss statement","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Revenue","99,871","106,916","102,874","98,368","92,793","81,742","79,920","79,139","79,591","77,147"
"","Cost of revenue","-53,857","-56,778","-52,513","-49,683","-46,386","-41,057","-41,624","-42,196","-42,655","-40,659"
"","Gross Profit","46,014","50,138","50,361","48,685","46,407","40,685","38,296","36,943","36,936","36,488"
"","Operating Expenses","-27,863","-29,852","-29,279","-29,194","-28,617","-25,677","-26,820","-25,270","-24,745","-26,593"
"","Operating Income (Loss)","18,151","20,286","21,082","19,491","17,790","15,008","11,476","11,673","12,191","9,895"
"","Non-Operating Income (Loss)","419","-391","384","-69","1,454","256","-775","-1,740","-1,875","-376"
"","Pretax Income (Loss), Adjusted","18,570","19,895","21,466","19,422","19,244","15,264","10,701","9,933","10,316","9,519"
"","Abnormal Gains (Losses)","1,154","1,108","1,074","822","742","682","1,631","1,466","1,026","648"
"","Pretax Income (Loss)","19,724","21,003","22,540","20,244","19,986","15,946","12,332","11,399","11,342","10,167"
"","Income Tax (Expense) Benefit, net","-4,890","-5,148","-5,541","-3,363","-4,234","-2,581","-449","-5,642","-2,619","-731"
"","Income (Loss) from Continuing Operations","14,834","15,855","16,999","16,881","15,752","13,365","11,883","5,757","8,723","9,436"
"","Net Extraordinary Gains (Losses)","","","-395","-398","-3,729","-174","-9","-5","5","-4"
"","Net Income Available to Common Shareholders","14,834","15,855","16,604","16,483","12,023","13,191","11,874","5,752","8,728","9,432"
"","","","","","","","","","","",""
"Balance Sheet","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Assets","","","","","","","","","",""
"","Cash, Cash Equivalents & Short Term Investments","11,651","11,922","11,129","11,066","8,476","8,194","8,527","12,580","11,997","8,868"
