"Data provided by SimFin","","","","","","","","","","",""
"","","","","","","","","","","",""
"Profit & Loss statement","","","","","","","","","","",""
"","in million USD","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19","FY '20"
"","Revenue","69,943","73,723","77,849","86,833","93,580","91,154","96,571","110,360","125,843","143,015"
"","Cost of revenue","-15,577","-17,530","-20,385","-27,078","-33,038","-32,780","-34,261","-38,353","-42,910","-46,078"
"","Gross Profit","54,366","56,193","57,464","59,755","60,542","58,374","62,310","72,007","82,933","96,937"
"","Operating Expenses","-27,205","-28,237","-30,700","-31,869","-32,370","-31,186","-32,979","-36,949","-39,974","-43,978"
"","Operating Income (Loss)","27,161","27,956","26,764","27,886","28,172","27,188","29,331","35,058","42,959","52,959"
"","Non-Operating Income (Loss)","910","504","288","61","346","-439","876","1,416","729","77"
"","Pretax Income (Loss), Adjusted","28,071","28,460","27,052","27,947","28,518","26,749","30,207","36,474","43,688","53,036"
"","Abnormal Gains (Losses)","0","-6,193","0","-127","-10,011","-1,110","-306","0","0",""
"","Pretax Income (Loss)","28,071","22,267","27,052","27,820","18,507","25,639","29,901","36,474","43,688","53,036"
"","Income Tax (Expense) Benefit, net","-4,921","-5,289","-5,189","-5,746","-6,314","-5,100","-4,412","-19,903","-4,448","-8,755"
"","Net Income Available to Common Shareholders","23,150","16,978","21,863","22,074","12,193","20,539","25,489","16,571","39,240","44,281"
"","","","","","","","","","","",""
"Balance Sheet","","","","","","","","","","",""
"","in million USD","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19","FY '20"
"","Assets","","","","","","","","","",""
"","Cash, Cash Equivalents & Short Term Investments","52,772","63,040","77,022","85,709","96,526","113,240","132,981","133,768","133,819","136,527"
"","Accounts & Notes Receivable","14,987","15,780","17,486","19,544","17,908","18,277","22,431","26,481","29,524","32,011"
"","Inventories","1,372","1,137","1,938","2,660","2,902","2,251","2,181","2,662","2,063","1,895"
"","Other Short Term Assets","5,787","5,127","5,020","6,333","5,461","5,892","5,103","6,751","10,146","11,482"
"","Total Current Assets","74,918","85,084","101,466","114,246","122,797","139,660","162,696","169,662","175,552","181,915"
"","Property, Plant & Equipment, Net","8,162","8,269","9,991","13,011","14,731","18,356","23,734","29,460","36,477","44,151"
"","Long Term Investments & Receivables","10,865","9,776","10,844","14,597","12,053","10,431","6,023","1,862","2,649","2,965"
