"Data provided by SimFin","","","","","","","","","","",""
"","","","","","","","","","","",""
"Profit & Loss statement","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Revenue","421,849","446,509","468,651","476,294","485,651","482,130","485,873","500,343","514,405","523,964"
"","Cost of revenue","-314,946","-334,993","-352,297","-358,069","-365,086","-360,984","-361,256","-373,396","-385,301","-394,605"
"","Gross Profit","106,903","111,516","116,354","118,225","120,565","121,146","124,617","126,947","129,104","129,359"
"","Operating Expenses","-81,361","-85,025","-88,629","-91,353","-93,418","-97,041","-101,853","-106,510","-107,147","-108,791"
"","Operating Income (Loss)","25,542","26,491","27,725","26,872","27,147","24,105","22,764","20,437","21,957","20,568"
"","Non-Operating Income (Loss)","-2,004","-2,159","-2,063","-2,216","-2,348","-2,467","-2,267","-2,178","-10,497","-2,410"
"","Pretax Income (Loss), Adjusted","23,538","24,332","25,662","24,656","24,799","21,638","20,497","18,259","11,460","18,158"
"","Abnormal Gains (Losses)","","","","","","0","0","-3,136","0","1,958"
"","Pretax Income (Loss)","23,538","24,332","25,662","24,656","24,799","21,638","20,497","15,123","11,460","20,116"
"","Income Tax (Expense) Benefit, net","-7,579","-7,924","-7,958","-8,105","-7,985","-6,558","-6,204","-4,600","-4,281","-4,915"
"","Income (Loss) from Continuing Operations","15,959","16,408","17,704","16,551","16,814","15,080","14,293","10,523","7,179","15,201"
"","Net Extraordinary Gains (Losses)","1,034","-21","52","144","285","","","","",""
"","Income (Loss) Including Minority Interest","16,993","16,387","17,756","16,695","17,099","15,080","14,293","10,523","7,179","15,201"
"","Minority Interest","-604","-688","-757","-673","-736","-386","-650","-661","-509","-320"
"","Net Income Available to Common Shareholders","16,389","15,699","16,999","16,022","16,363","14,694","13,643","9,862","6,670","14,881"
"","","","","","","","","","","",""
"Balance Sheet","","","","","","","","","","",""
